latitude;longitude;name;cuisine
48.5838077;7.7348637;New Chinatown;chinese
48.5842546;7.7375362;Le Botaniste;
48.5839098;7.7370412;Restaurant Brasserie L'Anatolie (Titan);
48.5827572;7.7333949;La Grande Vitesse;french
48.5856856;7.7403486;Pho Kim Saigon;
48.583691;7.7474191;Le Crocodile;french
48.582732;7.744598;Secret De Table;
48.5886991;7.7469221;La Petite Cantoche;"burger;french"
48.5858895;7.7469782;Yapan sushi;sushi
48.5859483;7.7428459;Novotel Café Restaurant;
48.5884905;7.7405237;Le Cyrano;
48.5869994;7.7409898;La Bierstub;
48.5892468;7.74941;Les Innocents;french
48.5899569;7.7493576;La Tour de Jade;asian
48.5840803;7.743117;Le grand Shanghai;asian
48.5841953;7.7425797;La Grande Muraille;chinese
48.583754;7.7420132;Cigkoftem;
48.583866;7.7421696;Sidi Bou Saïd;arab
48.5836615;7.742267;Au Bouchon;lyonnaise
48.5839415;7.7425573;Ephese;
48.5842812;7.7429469;Le Bartholdi;brasserie
48.5842146;7.7426668;Sushido;sushi
48.5838027;7.7427733;La Pause Quinoa;
48.5825797;7.7394326;Les Chefs d’Oeuvre d'Alsace;french
48.5827794;7.7381002;Le Schnockeloch;regional
48.5840072;7.7367918;Nemrut;
48.586884;7.7431944;Thai Square;Siamese
48.5823339;7.7470122;Le Square Delicatessen;
48.5823829;7.7464553;La Stub;
48.5822028;7.7466865;Le Bistrot des Cocottes;
48.5824051;7.7491559;Au Saint-Sépulcre;regional
48.5834202;7.7412714;O Brazil;brazilian
48.584455;7.7365257;Le Dix;
48.5822979;7.7408673;La part thé;french
48.583882;7.7470301;Le Sultan;lebanese
48.583019;7.7353295;Au Coin des Kneckes;
48.5831194;7.7422754;Les Fines Gueules;
48.5824216;7.7426478;La Fignette;
48.5822938;7.7427168;Winstub S'kaechele;regional
48.5851276;7.7365868;Naoko;japanese
48.5827107;7.749111;Le Clou;regional
48.5822311;7.738901;Le Quai Crêp'Art;crepe
48.5829698;7.7361545;Sonar bangla;indian
48.5836145;7.7403861;La Grappa;"italian;pizza;pasta;fish"
48.5826176;7.7417462;AEDAEN Place;
48.582703;7.7439917;Suzanne;
48.5835949;7.7415652;Iskandar;lebanese
48.5843155;7.7484277;Vert carotte;
48.5855292;7.7404337;Mandala;vietnamese
48.5821096;7.7443914;Santa Elena;latin_american
48.5825604;7.7395453;Momo Tibétain;tibetan
48.5824978;7.7355707;Brasserie La Choppe;
48.5874164;7.7477362;Au tribunal;
48.5828946;7.7393039;Yume Sushi;sushi
48.5838744;7.7410259;Alambar;italian
48.5848679;7.7376281;Le Kuhn;
48.5874692;7.7460547;Namaste;indian
48.587313;7.7465093;Cokoon;
48.5821247;7.7421112;Le Galopin;french
48.5833473;7.7356892;Graffateria;
48.5834778;7.7428749;À la Tête de Lard;french
48.5821455;7.7350698;Murat;
48.5836198;7.7472776;Floderer;
48.585242;7.741191;Bistrot Moderne;
48.5825097;7.7398407;Velicious Burger;
48.5838459;7.738486;Baan Thaï;thai
48.582444;7.7388086;Le Mikado;japanese
48.5867801;7.7430451;Winstub La Vigne;
48.5847396;7.7456788;Yonako;sushi
48.5832243;7.7440983;Tonneau;regional
48.5831445;7.7440369;Bar O Centre;
48.5832186;7.7438512;Lamian;chinese
48.583666;7.7354103;Le Relais - Mangatama;african
48.5847119;7.743053;La Mauresque;
48.5827491;7.7407878;Street Butcher;"barbecue;texan"
48.583574;7.7370098;Abyssinia;éthiopienne
48.5839917;7.7377051;Le Mun’s;regional
48.5897278;7.7462349;La Fabrique à Miam;
48.5831992;7.742805;Alma;
48.5857793;7.7402668;L'Italien du Coin;
48.5869486;7.7408178;PUR etc.;
48.5837818;7.7433343;Osaka;japanese
48.5830482;7.744392;Falafilo;lebanese
48.5874911;7.7477315;Oishii Sushi;japanese
48.5875971;7.7476517;Le Verdict;french
48.5833959;7.7358938;Fashion Crêpe;crepe
48.584672;7.737595;La Palme d'Or;indian
48.5850055;7.7375925;S'Zwiling Stuebel;regional
48.5852858;7.7378816;Le Petit Casa;arab
48.5849082;7.7384942;Les petites cantines;
48.5821189;7.7431897;Yaki House;japanese
48.583498;7.7440542;AMIS 朋友川;chinese
48.5840364;7.7436766;Ô Baozi;"chinese;baozi"
48.582422;7.7461626;Le Café Potager;
48.582455;7.7361868;Wok Six Couleurs;chinese
48.5854789;7.7379102;Chez Ani;african
48.5849863;7.7370476;Restaurant Gandhi;indian
48.5823775;7.7405219;La Case de L'Isle Bourbon;caribbean
48.5826115;7.7415686;Spuntino;italian
48.5838087;7.7434493;Brasserie l'Ours Blanc;
48.5824275;7.7402457;Les Saveurs du Midi;
48.5823029;7.7413747;Mama Roux;regional
48.5834264;7.7439956;Sichuan;chinese
48.5866067;7.7430958;Streeat;
48.5839982;7.7377286;Le Mun;
48.5834901;7.7381168;Air Bagels;bagel
